Days_Lag,Correlation
-6,0.083243503
-5,0.097193333
-4,0.09715048
-3,0.097541546
-2,0.103404887
-1,0.110551636
0,0.141475935
1,0.148301713
2,0.147864774
3,0.150623351
4,0.154814167
5,0.088845798
6,0.075998502
