Candidate,Poll_Percent,Wikipedia_Traffic,Date,,
Cory Booker,1.0,4884.0,206.0,,
Pete Buttigieg,5.0,5562.0,206.0,,
Julian Castro,1.0,3396.0,206.0,,
Tulsi Gabbard,.0,12457.0,206.0,,
Kamala Harris,10.0,12765.0,206.0,,
Beto O'Rourke,3.0,3211.0,206.0,,
Elizabeth Warren,10.0,6405.0,206.0,,
Andrew Yang,1.0,6616.0,206.0,,
Cory Booker,2.0,7931.0,204.0,,
Pete Buttigieg,6.0,6927.0,204.0,,
Julian Castro,3.0,2295.0,204.0,,
Tulsi Gabbard,2.0,12982.0,204.0,,
Kamala Harris,9.0,14048.0,204.0,,
Beto O'Rourke,2.0,7025.0,204.0,,
Elizabeth Warren,18.0,8128.0,204.0,,
Andrew Yang,2.0,4452.0,204.0,,
Elizabeth Warren,12.0,8128.0,204.0,,
Kamala Harris,10.0,14048.0,204.0,,
Pete Buttigieg,5.0,6927.0,204.0,,
Andrew Yang,3.0,4452.0,204.0,,
Cory Booker,2.0,7931.0,204.0,,
Beto O'Rourke,2.0,7025.0,204.0,,
Julian Castro,1.0,2295.0,204.0,,
Tulsi Gabbard,.0,12982.0,204.0,,
Kamala Harris,12.0,16306.0,203.0,,
Elizabeth Warren,9.0,11067.0,203.0,,
Pete Buttigieg,5.0,9072.0,203.0,,
Cory Booker,2.0,5062.0,203.0,,
Beto O'Rourke,1.0,3310.0,203.0,,
Julian Castro,.0,1306.0,203.0,,
Tulsi Gabbard,.0,16596.0,203.0,,
Andrew Yang,.0,4616.0,203.0,,
Beto O'Rourke,1.0,3310.0,203.0,,
Kamala Harris,14.0,16306.0,203.0,,
Elizabeth Warren,13.0,11067.0,203.0,,
Cory Booker,1.0,5062.0,203.0,,
Julian Castro,1.0,1306.0,203.0,,
Tulsi Gabbard,1.0,16596.0,203.0,,
Pete Buttigieg,6.0,9072.0,203.0,,
Andrew Yang,1.0,4616.0,203.0,,
Elizabeth Warren,14.0,7160.0,202.0,,
Kamala Harris,13.0,13160.0,202.0,,
Pete Buttigieg,5.0,7738.0,202.0,,
Beto O'Rourke,3.0,3260.0,202.0,,
Cory Booker,2.0,8320.0,202.0,,
Andrew Yang,2.0,4131.0,202.0,,
Julian Castro,1.0,1454.0,202.0,,
Tulsi Gabbard,1.0,6233.0,202.0,,
Kamala Harris,23.0,22218.0,199.0,,
Elizabeth Warren,19.0,6654.0,199.0,,
Pete Buttigieg,6.0,9589.0,199.0,,
Beto O'Rourke,1.0,3079.0,199.0,,
Julian Castro,1.0,1646.0,199.0,,
Andrew Yang,1.0,6569.0,199.0,,
Cory Booker,1.0,3758.0,199.0,,
Tulsi Gabbard,1.0,5580.0,199.0,,
Elizabeth Warren,17.0,6654.0,199.0,,
Kamala Harris,16.0,22218.0,199.0,,
Pete Buttigieg,7.0,9589.0,199.0,,
Cory Booker,3.0,3758.0,199.0,,
Julian Castro,2.0,1646.0,199.0,,
Beto O'Rourke,1.0,3079.0,199.0,,
Tulsi Gabbard,.0,5580.0,199.0,,
Andrew Yang,.0,6569.0,199.0,,
Elizabeth Warren,18.0,6654.0,199.0,,
Kamala Harris,12.0,22218.0,199.0,,
Pete Buttigieg,7.0,9589.0,199.0,,
Tulsi Gabbard,2.0,5580.0,199.0,,
Beto O'Rourke,2.0,3079.0,199.0,,
Cory Booker,1.0,3758.0,199.0,,
Andrew Yang,1.0,6569.0,199.0,,
Julian Castro,1.0,1646.0,199.0,,
Kamala Harris,12.0,22218.0,199.0,,
Elizabeth Warren,12.0,6654.0,199.0,,
Pete Buttigieg,5.0,9589.0,199.0,,
Cory Booker,3.0,3758.0,199.0,,
Beto O'Rourke,2.0,3079.0,199.0,,
